Date,Open,High,Low,Close,Volume,Adj Close
2012-09-06,5.24,5.45,5.13,5.45,2918800,5.45
2012-09-07,5.38,5.52,5.24,5.28,1581200,5.28
2012-09-10,5.33,5.36,5.25,5.28,726400,5.28
2012-09-11,5.21,5.24,5.17,5.2,757200,5.2
2012-09-12,5.17,5.24,5.15,5.21,797500,5.21
2012-09-13,5.09,5.25,5.06,5.08,1568800,5.08
2012-09-14,4.98,5.03,4.9,4.99,1869300,4.99
2012-09-17,4.99,5.42,4.95,5.28,3336400,5.28
2012-09-18,5.29,5.39,5.24,5.34,1527900,5.34
2012-09-19,5.5,5.82,5.5,5.78,3270600,5.78
2012-09-20,5.8,5.82,5.65,5.66,1072200,5.66
2012-09-21,5.61,5.7,5.57,5.66,732100,5.66
2012-09-24,5.8,5.88,5.77,5.79,1097800,5.79
2012-09-25,5.71,5.9,5.64,5.9,1392600,5.9
2012-09-26,5.98,6.16,5.98,6.03,2854000,6.03
2012-09-27,5.88,5.92,5.72,5.75,1228000,5.75
2012-09-28,5.77,5.83,5.71,5.76,740000,5.76
2012-10-01,5.66,5.75,5.61,5.72,920100,5.72
2012-10-02,5.69,5.8,5.68,5.8,677000,5.8
2012-10-03,5.93,6.3,5.93,6.27,2729600,6.27
2012-10-04,6.13,6.17,5.74,5.77,1066400,5.77
2012-10-05,5.86,6.07,5.85,5.95,1036700,5.95
2012-10-09,5.93,5.93,5.58,5.67,1567300,5.67
2012-10-10,5.65,5.8,5.48,5.75,1391900,5.75
2012-10-11,5.61,5.72,5.57,5.63,828300,5.63
2012-10-12,5.67,5.77,5.6,5.7,781000,5.7
2012-10-15,5.83,5.94,5.67,5.71,1229500,5.71
2012-10-16,5.74,5.74,5.65,5.67,989100,5.67
2012-10-17,5.62,5.72,5.58,5.67,911700,5.67
2012-10-18,5.78,5.82,5.6,5.67,1411200,5.67
2012-10-19,5.57,5.94,5.56,5.93,2323100,5.93
2012-10-22,5.93,6.16,5.91,6.08,1738900,6.08
2012-10-23,6.35,6.55,6.35,6.43,4290700,6.43
2012-10-24,6.46,6.67,6.44,6.57,1300000,6.57
2012-10-25,6.46,6.63,6.44,6.49,579800,6.49
2012-10-26,6.56,6.58,6.47,6.5,479500,6.5
2012-10-29,6.53,6.71,6.5,6.64,631800,6.64
2012-10-30,6.55,6.59,6.49,6.58,178500,6.58
2012-10-31,6.49,6.52,6.34,6.49,872100,6.49
2012-11-01,6.47,6.49,6.31,6.37,883300,6.37
2012-11-02,6.43,6.7,6.43,6.67,993900,6.67
2012-11-05,6.63,6.68,6.52,6.53,737600,6.53
2012-11-06,6.42,6.48,6.02,6.13,1191600,6.13
2012-11-07,6.35,6.72,6.34,6.64,1776600,6.64
